samp_ev,exp,grp_esd,mn_ct_ml
LSZ2,site,diatom pennate 6.60,0.18477457501847744
LSZ2,site,dinoflagellate peridinium 24.00,0.5543237250554324
LSZ2,site,flagellate cryptomonas 7.25,3.8186745503818673
LSZ2,site,flagellate other 7.25,0.6159152500615915
LSZ2,site,tintinnid agglutinated 18.32,0.06159152500615915
LSZ2,site,tintinnid agglutinated 28.46,0.18477457501847744
LSZ2,site,unidentified flagchloro 6.60,6.590293175659029
LSZ2,site,unidentified NA 10.08,0.06159152500615915
LSZ2,site,unidentified NA 18.32,0.1231830500123183
LSZ2,site,unidentified NA 26.42,0.06159152500615915
LSZ2,site,unidentified NA 9.16,0.06159152500615915
LSZ2,site,unidentified round 14.00,0.8622813500862281
LSZ2,site,unidentified round 16.00,0.1231830500123183
LSZ2,site,unidentified round 24.50,2.463661000246366
LSZ2,site,unidentified round 40.00,0.18477457501847744
LSZ2,site,unidentified round 5.50,7.329391475732939
LSZ2,site,unidentified round 9.50,6.898250800689825
LSZ2,T24,chlorophyte colonial 4.00,0.08743169398907104
LSZ2,T24,chlorophyte other 10.00,0.04371584699453552
LSZ2,T24,chlorophyte scenedesmus 11.70,0.18076644974692696
LSZ2,T24,chlorophyte scenedesmus 18.32,0.04371584699453552
LSZ2,T24,ciliate cone 19.05,1.4950203296817262
LSZ2,T24,ciliate cone 30.61,0.04519161243673174
LSZ2,T24,ciliate round 14.00,0.24878669185426705
LSZ2,T24,ciliate round 24.00,0.13557483731019523
LSZ2,T24,ciliate round 40.00,0.18076644974692696
LSZ2,T24,ciliate round 48.00,0.13129102844638948
LSZ2,T24,ciliate round 5.50,0.06631165321290139
LSZ2,T24,ciliate round 9.50,0.36880573653815296
LSZ2,T24,cyanobacteria aphanizomenon 12.43,0.4971077368040492
LSZ2,T24,cyanobacteria aphanizomenon 19.73,0.2185792349726776
LSZ2,T24,cyanobacteria aphanizomenon 22.58,0.0437636761487965
LSZ2,T24,diatom centric 10.87,2.990226364787236
LSZ2,T24,diatom centric 16.03,0.7194230105940107
LSZ2,T24,diatom centric 28.05,5.09119474261798
LSZ2,T24,diatom centric 6.30,2.006590726903976
LSZ2,T24,diatom chain 25.52,0.08743169398907104
LSZ2,T24,diatom pennate 13.21,0.04519161243673174
LSZ2,T24,diatom pennate 16.64,0.0437636761487965
LSZ2,T24,diatom pennate 4.93,2.3396048058201613
LSZ2,T24,diatom pennate 7.83,0.4067245119305857
LSZ2,T24,dinoflagellate peridinium 16.00,0.0437636761487965
LSZ2,T24,dinoflagellate peridinium 24.00,0.04519161243673174
LSZ2,T24,flagellate cryptomonas 10.43,0.34996592172758906
LSZ2,T24,flagellate cryptomonas 4.20,12.623130507545053
LSZ2,T24,flagellate cryptomonas 7.25,2.8088075770787095
LSZ2,T24,flagellate other 10.43,0.08743169398907104
LSZ2,T24,flagellate other 4.20,4.940090387591056
LSZ2,T24,flagellate other 7.25,0.37984489684841405
LSZ2,T24,unidentified flagchloro 7.05,1.8380743982494527
LSZ2,T24,unidentified flagchloro 8.55,3.7960954446854664
LSZ2,T24,unidentified round 24.50,0.17719660902708886
LSZ2,T24,unidentified round 5.50,5.615363790388887
LSZ2,T24,unidentified round 9.50,0.48752438934546627
SJR1,FC,chlorophyte colonial 12.00,0.04362050163576881
SJR1,FC,chlorophyte colonial 24.00,0.08724100327153762
SJR1,FC,chlorophyte colonial 8.00,0.2908033442384587
SJR1,FC,chlorophyte scenedesmus 5.04,0.13086150490730644
SJR1,FC,ciliate cone 19.05,4.654217692285954
SJR1,FC,ciliate cone 26.42,0.24233612019871562
SJR1,FC,ciliate round 14.00,3.133956278678803
SJR1,FC,ciliate round 24.00,0.2689930934205743
SJR1,FC,ciliate round 48.00,0.04362050163576881
SJR1,FC,ciliate round 5.50,1.7375666825367377
SJR1,FC,ciliate round 9.50,1.2241384531211674
SJR1,FC,cyanobacteria aphanizomenon 19.73,0.13086150490730644
SJR1,FC,cyanobacteria aphanizomenon 22.58,0.2908033442384587
SJR1,FC,diatom centric 10.87,11.621688792692787
SJR1,FC,diatom centric 16.03,1.5482808133299457
SJR1,FC,diatom centric 28.05,15.554418149173483
SJR1,FC,diatom centric 54.95,0.14540167211922936
SJR1,FC,diatom centric 6.30,6.308329159254077
SJR1,FC,diatom pennate 14.54,0.06045218232378188
SJR1,FC,diatom pennate 15.30,0.08724100327153762
SJR1,FC,diatom pennate 18.32,0.04846722403974312
SJR1,FC,diatom pennate 34.18,0.06045218232378188
SJR1,FC,diatom pennate 4.93,0.899067005937235
SJR1,FC,diatom pennate 6.60,1.2694958287994196
SJR1,FC,flagellate other 10.43,0.9854123236575122
SJR1,FC,flagellate other 4.20,6.970856950007869
SJR1,FC,flagellate other 7.25,1.3496530932509303
SJR1,FC,ochrophyte synura 16.00,0.04604386283775597
SJR1,FC,unidentified flagchloro 8.55,1.890221737549982
SJR1,FC,unidentified NA 27.36,0.04362050163576881
SJR1,FC,unidentified rotifer 63.07,0.06045218232378188
SJR1,FC,unidentified round 14.00,0.3586574578940991
SJR1,FC,unidentified round 24.50,0.6185011981222598
SJR1,FC,unidentified round 48.00,0.18135654697134565
SJR1,FC,unidentified round 5.50,6.951739908737641
SJR1,FC,unidentified round 64.00,0.04362050163576881
SJR1,FC,unidentified round 9.50,1.3286506295003748
SJR1,IC,chlorophyte other 10.00,0.26344676180021953
SJR1,IC,chlorophyte scenedesmus 4.00,0.13172338090010977
SJR1,IC,chlorophyte scenedesmus 5.04,0.308030803080308
SJR1,IC,ciliate cone 19.05,3.6469679062412537
SJR1,IC,ciliate cone 26.42,0.11786892975011785
SJR1,IC,ciliate other odd shape 51.83,0.04390779363336992
SJR1,IC,ciliate round 14.00,1.0383351334976685
SJR1,IC,ciliate round 24.00,0.2855938722302527
SJR1,IC,ciliate round 48.00,0.03928964325003929
SJR1,IC,ciliate round 5.50,0.08634060834341235
SJR1,IC,ciliate round 56.00,0.08781558726673984
SJR1,IC,ciliate round 9.50,1.2350495935067345
SJR1,IC,cyanobacteria aphanizomenon 15.72,0.044004400440044
SJR1,IC,cyanobacteria aphanizomenon 19.73,0.6286342920006286
SJR1,IC,cyanobacteria dolichospermum 12.43,0.6586169045005488
SJR1,IC,cyanobacteria dolichospermum 15.66,0.04390779363336992
SJR1,IC,diatom centric 10.87,10.677613942984387
SJR1,IC,diatom centric 16.03,0.24274990355132944
SJR1,IC,diatom centric 28.05,23.663951152838347
SJR1,IC,diatom centric 54.95,0.176017601760176
SJR1,IC,diatom centric 6.30,2.797907933598231
SJR1,IC,diatom chain 26.78,0.03928964325003929
SJR1,IC,diatom chain 38.10,0.03928964325003929
SJR1,IC,diatom chain 39.46,0.04390779363336992
SJR1,IC,diatom pennate 3.11,0.4829857299670691
SJR1,IC,diatom pennate 32.27,0.07857928650007857
SJR1,IC,diatom pennate 4.93,1.012101210121012
SJR1,IC,diatom pennate pleurosigma 14.46,0.07857928650007857
SJR1,IC,flagellate NA 20.16,0.04390779363336992
SJR1,IC,flagellate other 10.43,0.13872679934346474
SJR1,IC,flagellate other 4.20,3.356473538734355
SJR1,IC,flagellate other 7.25,1.8088802241783948
SJR1,IC,ochrophyte synura 32.00,0.04390779363336992
SJR1,IC,unidentified flagchloro 7.83,1.364136413641364
SJR1,IC,unidentified NA 10.48,1.3172338090010975
SJR1,IC,unidentified NA 21.72,0.11786892975011785
SJR1,IC,unidentified NA 38.56,0.176017601760176
SJR1,IC,unidentified rotifer 65.15,0.08781558726673984
SJR1,IC,unidentified round 14.00,0.044004400440044
SJR1,IC,unidentified round 24.50,2.5375249876668184
SJR1,IC,unidentified round 5.50,6.356261521296137
SJR1,IC,unidentified round 64.00,0.04390779363336992
SJR1,IC,unidentified round 9.50,1.1319776063121967
SJR1,site,ciliate cone 26.42,0.10570265842185932
SJR1,site,ciliate round 14.00,0.05285132921092966
SJR1,site,ciliate round 24.00,2.114053168437186
SJR1,site,ciliate round 36.00,0.15855398763278897
SJR1,site,cyanobacteria dolichospermum 10.48,0.05285132921092966
SJR1,site,cyanobacteria other 19.05,0.7927699381639448
SJR1,site,diatom centric 10.87,0.3699593044765076
SJR1,site,diatom centric 28.05,41.80540140584536
SJR1,site,diatom centric 6.30,0.7399186089530152
SJR1,site,flagellate other 7.25,0.21140531684371863
SJR1,site,ochrophyte synura 16.00,0.7399186089530152
SJR1,site,unidentified flagchloro 6.60,4.492362982929021
SJR1,site,unidentified NA 14.54,0.7927699381639448
SJR1,site,unidentified NA 28.46,2.114053168437186
SJR1,site,unidentified NA 3.91,0.10570265842185932
SJR1,site,unidentified NA 42.51,2.8539717773902016
SJR1,site,unidentified NA 9.16,0.05285132921092966
SJR1,site,unidentified round 24.50,1.8497965223825379
SJR1,site,unidentified round 40.00,0.21140531684371863
SJR1,site,unidentified round 5.50,8.139104698483168
SJR1,T24,chlorophyte colonial 32.00,0.0495687518588282
SJR1,T24,chlorophyte scenedesmus 5.04,0.148544266191325
SJR1,T24,chlorophyte scenedesmus 6.60,0.5452562704471101
SJR1,T24,ciliate cone 19.05,1.1869766070816594
