samp_ev,exp,grp_typ,category,sa,la,wi,tot_ct,bmn_pgml,mn_ct
SJR2,IC,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,427,29,142.3
SJR2,IC,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,134,45,44.7
SJR2,IC,diatom chain,diatom chain 8 136,8,136,8,3,40,1.0
SJR2,IC,diatom chain,diatom chain 8 160,8,160,8,4,59,1.3
SJR2,IC,diatom pennate,diatom pennate 2 10,2,10,2,29,1,9.7
SJR2,IC,diatom pennate,diatom pennate 2 20,2,20,2,103,6,34.3
SJR2,IC,diatom pennate,diatom pennate 2 8,2,8,2,6,0,2.0
SJR2,IC,diatom pennate,diatom pennate 4 10,4,10,4,54,12,18.0
SJR2,IC,diatom pennate,diatom pennate 4 16,4,16,4,17,7,5.7
SJR2,IC,diatom pennate,diatom pennate 4 20,4,20,4,2,1,0.7
SJR2,IC,diatom pennate,diatom pennate 6 40,6,40,,2,5,0.7
SJR2,IC,diatom pennate,diatom pennate 6 80,6,80,,3,12,1.0
SJR2,IC,diatom pennate,diatom pennate 8 184,8,184,,2,29,0.7
SJR2,IC,diatom pennate,diatom pennate 8 40,8,40,8,1,4,0.3
SJR2,IC,diatom pennate,diatom pennate 8 64,8,64,8,1,6,0.3
SJR2,IC,diatom pennate pleurosigma,diatom pennate pleurosigma 6 56,6,56,6,12,20,4.0
SJR2,IC,diatom pennate pleurosigma,diatom pennate pleurosigma 8 120,8,120,8,4,25,1.3
SJR2,IC,diatom pennate pleurosigma,diatom pennate pleurosigma 8 80,8,80,8,3,13,1.0
SJR2,IC,dinoflagellate peridinium,dinoflagellate peridinium 24 24,24,24,24,19,224,6.3
SJR2,IC,flagellate colonial,flagellate colonial 16 16,16,16,,1,13,0.3
SJR2,IC,flagellate cryptomonas,flagellate cryptomonas 12 40,12,40,,1,17,0.3
SJR2,IC,flagellate cryptomonas,flagellate cryptomonas 3.67 5.5,3.67,5.5,,398,29,132.7
SJR2,IC,flagellate cryptomonas,flagellate cryptomonas 6.33 9.5,6.33,9.5,,483,161,161.0
SJR2,IC,flagellate cryptomonas,flagellate cryptomonas 8 24,8,24,,75,103,25.0
SJR2,IC,flagellate cryptomonas,flagellate cryptomonas 9 14,9,14,,158,157,52.7
SJR2,IC,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,445,31,148.3
SJR2,IC,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,118,43,39.3
SJR2,IC,tintinnid agglutinated,tintinnid agglutinated 24 32,24,32,,1,52,0.3
SJR2,IC,tintinnid agglutinated,tintinnid agglutinated 24 64,24,64,,1,100,0.3
SJR2,IC,unidentified NA,unidentified NA 10 10,10,10,,6,18,2.0
SJR2,IC,unidentified round,unidentified round 14 14,14,14,,8,32,2.7
SJR2,IC,unidentified round,unidentified round 24.5 24.5,24.5,24.5,,35,422,11.7
SJR2,IC,unidentified round,unidentified round 28 28,28,28,,4,226,1.3
SJR2,IC,unidentified round,unidentified round 5.5 5.5,5.5,5.5,,497,76,165.7
SJR2,IC,unidentified round,unidentified round 9.5 9.5,9.5,9.5,,98,77,32.7
SJR2,T24,chlorophyte scenedesmus,chlorophyte scenedesmus 4 4,4,4,,2,0,0.7
SJR2,T24,chlorophyte scenedesmus,chlorophyte scenedesmus 4 6,4,6,,1,0,0.3
SJR2,T24,chlorophyte scenedesmus,chlorophyte scenedesmus 4 8,4,8,,6,3,2.0
SJR2,T24,ciliate cone,ciliate cone 24 24,24,24,,47,1407,15.7
SJR2,T24,ciliate round,ciliate round 14 14,14,14,,8,34,2.7
SJR2,T24,ciliate round,ciliate round 24 24,24,24,,69,2050,23.0
SJR2,T24,ciliate round,ciliate round 40 40,40,40,,2,285,0.7
SJR2,T24,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,5,2,1.7
SJR2,T24,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,23,30,7.7
SJR2,T24,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 80,8,80,,28,297,9.3
SJR2,T24,cyanobacteria dolichospermum,cyanobacteria dolichospermum 6 80,6,80,,9,161,3.0
SJR2,T24,diatom centric,diatom centric 14 14,14,14,,17,20,5.7
SJR2,T24,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,4,36,1.3
SJR2,T24,diatom centric,diatom centric 32 32,32,32,,1,39,0.3
SJR2,T24,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,201,15,67.0
SJR2,T24,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,37,14,12.3
SJR2,T24,diatom other,diatom other 8 24,8,24,,1,2,0.3
SJR2,T24,diatom pennate,diatom pennate 2 10,2,10,2,6,1,2.0
SJR2,T24,diatom pennate,diatom pennate 2 12,2,12,2,11,1,3.7
SJR2,T24,diatom pennate,diatom pennate 2 20,2,20,2,55,3,18.3
SJR2,T24,diatom pennate,diatom pennate 6 40,6,40,,1,3,0.3
SJR2,T24,diatom pennate,diatom pennate 8 56,8,56,,2,7,0.7
SJR2,T24,diatom pennate pleurosigma,diatom pennate pleurosigma 8 64,8,64,8,3,11,1.0
SJR2,T24,flagellate cryptomonas,flagellate cryptomonas 3.67 5.5,3.67,5.5,,36,4,12.0
SJR2,T24,flagellate cryptomonas,flagellate cryptomonas 6.33 9.5,6.33,9.5,,54,20,18.0
SJR2,T24,flagellate cryptomonas,flagellate cryptomonas 8 24,8,24,,2,10,0.7
SJR2,T24,flagellate cryptomonas,flagellate cryptomonas 9 14,9,14,,28,30,9.3
SJR2,T24,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,501,36,167.0
SJR2,T24,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,28,11,9.3
SJR2,T24,unidentified NA,unidentified NA 10 10,10,10,,1,3,0.3
SJR2,T24,unidentified NA,unidentified NA 10 16,10,16,,6,18,2.0
SJR2,T24,unidentified NA,unidentified NA 2 10,2,10,,1,0,0.3
SJR2,T24,unidentified NA,unidentified NA 3 8,3,8,,28,9,9.3
SJR2,T24,unidentified NA,unidentified NA 32 56,32,56,,1,151,0.3
SJR2,T24,unidentified round,unidentified round 24.5 24.5,24.5,24.5,,6,118,2.0
SJR2,T24,unidentified round,unidentified round 5.5 5.5,5.5,5.5,,146,24,48.7
SJR2,T24,unidentified round,unidentified round 80 80,80,80,,1,1181,0.3
SJR2,T24,unidentified round,unidentified round 9.5 9.5,9.5,9.5,,24,21,8.0
WLD2,FC,chlorophyte colonial,chlorophyte colonial 10 10,10,10,,2,7,0.7
WLD2,FC,chlorophyte colonial,chlorophyte colonial 12 12,12,12,,2,11,0.7
WLD2,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 6,4,6,,3,1,1.0
WLD2,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 8,4,8,,5,2,1.7
WLD2,FC,ciliate cone,ciliate cone 24 24,24,24,,351,3546,117.0
WLD2,FC,ciliate cone,ciliate cone 24 40,24,40,,7,377,2.3
WLD2,FC,ciliate cone,ciliate cone 32 36,32,36,,2,167,0.7
WLD2,FC,ciliate oblong,ciliate oblong 12 32,12,32,,3,64,1.0
WLD2,FC,ciliate oblong,ciliate oblong 16 32,16,32,,4,156,1.3
WLD2,FC,ciliate oblong,ciliate oblong 16 48,16,48,,4,222,1.3
WLD2,FC,ciliate oblong,ciliate oblong 40 72,40,72,,1,536,0.3
WLD2,FC,ciliate oblong,ciliate oblong 8 20,8,20,,6,36,2.0
WLD2,FC,ciliate oblong,ciliate oblong 8 72,8,72,,2,43,0.7
WLD2,FC,ciliate other,ciliate other 32 40,32,40,,1,185,0.3
WLD2,FC,ciliate other odd shape,ciliate other odd shape 32 136,32,136,,1,646,0.3
WLD2,FC,ciliate round,ciliate round 14 14,14,14,,72,301,24.0
WLD2,FC,ciliate round,ciliate round 24 24,24,24,,25,785,8.3
WLD2,FC,ciliate round,ciliate round 40 40,40,40,,3,441,1.0
WLD2,FC,ciliate round,ciliate round 48 48,48,48,,1,515,0.3
WLD2,FC,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,71,19,23.7
WLD2,FC,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,144,189,48.0
WLD2,FC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 80,8,80,,148,1609,49.3
WLD2,FC,cyanobacteria dolichospermum,cyanobacteria dolichospermum 4 64,4,64,,3,20,1.0
WLD2,FC,cyanobacteria dolichospermum,cyanobacteria dolichospermum 6 200,6,200,,2,90,0.7
WLD2,FC,cyanobacteria dolichospermum,cyanobacteria dolichospermum 8 40,8,40,,1,16,0.3
WLD2,FC,cyanobacteria other,cyanobacteria other 6 80,6,80,,13,119,4.3
WLD2,FC,diatom centric,diatom centric 14 14,14,14,,5,10,1.7
WLD2,FC,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,24,123,8.0
WLD2,FC,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,32,3,10.7
WLD2,FC,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,11,7,3.7
WLD2,FC,diatom chain,diatom chain 4 104,4,104,,1,3,0.3
WLD2,FC,diatom chain,diatom chain 8 120,8,120,,1,11,0.3
WLD2,FC,diatom chain,diatom chain 8 80,8,80,,2,14,0.7
WLD2,FC,diatom egg shaped,diatom egg shaped 32 80,32,80,,1,62,0.3
WLD2,FC,diatom pennate,diatom pennate 12 128,12,128,12,11,198,3.7
WLD2,FC,diatom pennate,diatom pennate 16 40,16,40,16,1,14,0.3
WLD2,FC,diatom pennate,diatom pennate 2 20,2,20,2,38,5,12.7
WLD2,FC,diatom pennate,diatom pennate 2 30,2,30,2,33,6,11.0
WLD2,FC,diatom pennate,diatom pennate 4 12,4,12,4,19,6,6.3
WLD2,FC,diatom pennate,diatom pennate 4 24,4,24,,4,3,1.3
WLD2,FC,diatom pennate,diatom pennate 4 64,4,64,4,2,2,0.7
WLD2,FC,diatom pennate,diatom pennate 8 24,8,24,,7,6,2.3
WLD2,FC,diatom pennate,diatom pennate 8 40,8,40,8,1,4,0.3
WLD2,FC,diatom pennate,diatom pennate 8 48,8,48,,23,42,7.7
WLD2,FC,diatom pennate,diatom pennate 8 80,8,80,8,4,14,1.3
WLD2,FC,diatom pennate fragillaria,diatom pennate fragillaria 16 96,16,96,16,1,32,0.3
WLD2,FC,diatom pennate pleurosigma,diatom pennate pleurosigma 12 96,12,96,12,4,44,1.3
WLD2,FC,diatom pennate pleurosigma,diatom pennate pleurosigma 16 88,16,88,16,1,19,0.3
WLD2,FC,flagellate cryptomonas,flagellate cryptomonas 3.67 5.5,3.67,5.5,,222,25,74.0
WLD2,FC,flagellate cryptomonas,flagellate cryptomonas 6 16,6,16,,4,7,1.3
WLD2,FC,flagellate cryptomonas,flagellate cryptomonas 6.33 9.5,6.33,9.5,,244,125,81.3
WLD2,FC,flagellate cryptomonas,flagellate cryptomonas 9 14,9,14,,14,46,4.7
WLD2,FC,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,655,47,218.3
WLD2,FC,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,227,81,75.7
WLD2,FC,flagellate other,flagellate other 9 14,9,14,,31,51,10.3
WLD2,FC,tintinnid agglutinated,tintinnid agglutinated 20 64,20,64,,26,1526,8.7
WLD2,FC,tintinnid agglutinated,tintinnid agglutinated 24 48,24,48,,14,914,4.7
WLD2,FC,tintinnid agglutinated,tintinnid agglutinated 24 64,24,64,,20,1754,6.7
WLD2,FC,tintinnid hyaline,tintinnid hyaline 16 36,16,36,,1,27,0.3
WLD2,FC,unidentified NA,unidentified NA 12 32,12,32,,7,93,2.3
WLD2,FC,unidentified NA,unidentified NA 16 72,16,72,,1,53,0.3
WLD2,FC,unidentified NA,unidentified NA 20 40,20,40,,13,534,4.3
WLD2,FC,unidentified NA,unidentified NA 24 32,24,32,,6,283,2.0
WLD2,FC,unidentified NA,unidentified NA 24 40,24,40,,26,1378,8.7
WLD2,FC,unidentified NA,unidentified NA 32 56,32,56,,5,690,1.7
WLD2,FC,unidentified rotifer,unidentified rotifer 32 48,32,48,,1,132,0.3
WLD2,FC,unidentified rotifer,unidentified rotifer 40 112,40,112,,1,445,0.3
WLD2,FC,unidentified rotifer,unidentified rotifer 48 120,48,120,,3,1870,1.0
WLD2,FC,unidentified round,unidentified round 14 14,14,14,,10,40,3.3
WLD2,FC,unidentified round,unidentified round 24.5 24.5,24.5,24.5,,149,1688,49.7
WLD2,FC,unidentified round,unidentified round 28 28,28,28,,8,456,2.7
WLD2,FC,unidentified round,unidentified round 5.5 5.5,5.5,5.5,,941,142,313.7
WLD2,FC,unidentified round,unidentified round 9.5 9.5,9.5,9.5,,111,89,37.0
WLD2,IC,chlorophyte colonial,chlorophyte colonial 16 16,16,16,,1,12,0.3
WLD2,IC,chlorophyte colonial,chlorophyte colonial 6 12,6,12,,2,1,0.7
WLD2,IC,chlorophyte colonial,chlorophyte colonial 6 6,6,6,,2,2,0.7
WLD2,IC,chlorophyte other,chlorophyte other 16 16,16,16,,1,12,0.3
WLD2,IC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 6,4,6,,11,2,3.7
WLD2,IC,ciliate cone,ciliate cone 24 24,24,24,,63,629,21.0
WLD2,IC,ciliate oblong,ciliate oblong 12 56,12,56,,1,37,0.3
WLD2,IC,ciliate oblong,ciliate oblong 8 40,8,40,,3,18,1.0
WLD2,IC,ciliate round,ciliate round 14 14,14,14,,35,144,11.7
WLD2,IC,ciliate round,ciliate round 24 24,24,24,,15,306,5.0
WLD2,IC,ciliate round,ciliate round 36 36,36,36,,1,200,0.3
WLD2,IC,ciliate round,ciliate round 40 40,40,40,,3,426,1.0
WLD2,IC,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,8,2,2.7
WLD2,IC,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,54,69,18.0
WLD2,IC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 80,8,80,,106,1117,35.3
WLD2,IC,cyanobacteria dolichospermum,cyanobacteria dolichospermum 4 80,4,80,,9,72,3.0
WLD2,IC,cyanobacteria other,cyanobacteria other 1.6 80,1.6,80,,1,1,0.3
WLD2,IC,cyanobacteria other,cyanobacteria other 4 80,4,80,,42,337,14.0
WLD2,IC,cyanobacteria other,cyanobacteria other 4 96,4,96,,11,101,3.7
WLD2,IC,cyanobacteria other,cyanobacteria other 6 80,6,80,,14,251,4.7
WLD2,IC,cyanobacteria other,cyanobacteria other 8 72,8,72,,1,27,0.3
WLD2,IC,diatom centric,diatom centric 14 14,14,14,,10,18,3.3
WLD2,IC,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,10,79,3.3
WLD2,IC,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,50,4,16.7
WLD2,IC,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,25,10,8.3
WLD2,IC,diatom chain,diatom chain 16 240,16,240,,1,69,0.3
WLD2,IC,diatom chain,diatom chain 4 32,4,32,,1,1,0.3
WLD2,IC,diatom chain,diatom chain 4 64,4,64,,2,3,0.7
WLD2,IC,diatom pennate,diatom pennate 104 200,104,200,104,2,3623,0.7
WLD2,IC,diatom pennate,diatom pennate 12 48,12,48,12,1,10,0.3
WLD2,IC,diatom pennate,diatom pennate 12 56,12,56,12,4,39,1.3
WLD2,IC,diatom pennate,diatom pennate 16 64,16,64,16,1,26,0.3
WLD2,IC,diatom pennate,diatom pennate 2 20,2,20,2,96,4,32.0
WLD2,IC,diatom pennate,diatom pennate 20 56,20,56,20,3,75,1.0
WLD2,IC,diatom pennate,diatom pennate 4 40,4,40,4,15,13,5.0
WLD2,IC,diatom pennate,diatom pennate 6 120,6,120,,3,17,1.0
WLD2,IC,diatom pennate,diatom pennate 6 40,6,40,,7,13,2.3
WLD2,IC,diatom pennate,diatom pennate 6 48,6,48,,41,74,13.7
WLD2,IC,diatom pennate,diatom pennate 6 64,6,64,6,10,29,3.3
WLD2,IC,diatom pennate,diatom pennate 8 24,8,24,,5,8,1.7
WLD2,IC,diatom pennate,diatom pennate 8 32,8,32,8,1,3,0.3
WLD2,IC,diatom pennate,diatom pennate 8 48,8,48,,62,187,20.7
WLD2,IC,diatom pennate,diatom pennate 8 56,8,56,,7,12,2.3
WLD2,IC,diatom pennate,diatom pennate 8 80,8,80,8,18,98,6.0
WLD2,IC,diatom pennate pleurosigma,diatom pennate pleurosigma 8 44,8,44,8,5,13,1.7
WLD2,IC,flagellate cryptomonas,flagellate cryptomonas 3.67 5.5,3.67,5.5,,629,44,209.7
WLD2,IC,flagellate cryptomonas,flagellate cryptomonas 6.33 9.5,6.33,9.5,,815,260,271.7
WLD2,IC,flagellate cryptomonas,flagellate cryptomonas 8 24,8,24,,23,50,7.7
WLD2,IC,flagellate cryptomonas,flagellate cryptomonas 9 14,9,14,,86,88,28.7
WLD2,IC,flagellate euglenid,flagellate euglenid 8 32,8,32,,2,13,0.7
WLD2,IC,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,323,23,107.7
WLD2,IC,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,31,12,10.3
WLD2,IC,flagellate other,flagellate other 9 14,9,14,,14,24,4.7
WLD2,IC,tintinnid hyaline,tintinnid hyaline 12 32,12,32,,1,14,0.3
WLD2,IC,tintinnid hyaline,tintinnid hyaline 16 20,16,20,,2,30,0.7
WLD2,IC,unidentified NA,unidentified NA 12 32,12,32,,48,281,16.0
WLD2,IC,unidentified NA,unidentified NA 16 32,16,32,,1,23,0.3
WLD2,IC,unidentified NA,unidentified NA 16 40,16,40,,7,188,2.3
WLD2,IC,unidentified NA,unidentified NA 20 40,20,40,,18,660,6.0
WLD2,IC,unidentified NA,unidentified NA 8 168,8,168,,1,46,0.3
WLD2,IC,unidentified rotifer,unidentified rotifer 40 64,40,64,,1,261,0.3
WLD2,IC,unidentified rotifer,unidentified rotifer 48 120,48,120,,2,1218,0.7
WLD2,IC,unidentified round,unidentified round 24.5 24.5,24.5,24.5,,49,570,16.3
WLD2,IC,unidentified round,unidentified round 48 48,48,48,,4,988,1.3
WLD2,IC,unidentified round,unidentified round 5.5 5.5,5.5,5.5,,376,58,125.3
WLD2,IC,unidentified round,unidentified round 9.5 9.5,9.5,9.5,,64,51,21.3
WLD2,T24,chlorophyte colonial,chlorophyte colonial 8 8,8,8,,1,2,0.3
WLD2,T24,chlorophyte other,chlorophyte other 10 10,10,10,,11,30,3.7
WLD2,T24,chlorophyte scenedesmus,chlorophyte scenedesmus 4 6,4,6,,3,1,1.0
WLD2,T24,chlorophyte scenedesmus,chlorophyte scenedesmus 4 8,4,8,,10,2,3.3
WLD2,T24,ciliate cone,ciliate cone 24 24,24,24,,76,741,25.3
WLD2,T24,ciliate cone,ciliate cone 24 40,24,40,,1,51,0.3
WLD2,T24,ciliate cone,ciliate cone 40 48,40,48,,1,161,0.3
WLD2,T24,ciliate oblong,ciliate oblong 12 32,12,32,,2,21,0.7
WLD2,T24,ciliate oblong,ciliate oblong 8 20,8,20,,1,6,0.3
WLD2,T24,ciliate other,ciliate other 16 24,16,24,,2,53,0.7
WLD2,T24,ciliate round,ciliate round 14 14,14,14,,20,80,6.7
WLD2,T24,ciliate round,ciliate round 40 40,40,40,,1,266,0.3
WLD2,T24,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,24,6,8.0
WLD2,T24,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,75,93,25.0
WLD2,T24,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 80,8,80,,41,620,13.7
WLD2,T24,cyanobacteria dolichospermum,cyanobacteria dolichospermum 4 240,4,240,,1,23,0.3
WLD2,T24,diatom centric,diatom centric 14 14,14,14,,1,4,0.3
WLD2,T24,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,7,58,2.3
WLD2,T24,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,54,4,18.0
WLD2,T24,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,15,6,5.0
WLD2,T24,diatom pennate,diatom pennate 2 20,2,20,2,85,4,28.3
WLD2,T24,diatom pennate,diatom pennate 4 120,4,120,4,1,3,0.3
WLD2,T24,diatom pennate,diatom pennate 4 40,4,40,4,2,2,0.7
WLD2,T24,diatom pennate,diatom pennate 4 64,4,64,4,1,2,0.3
WLD2,T24,diatom pennate,diatom pennate 8 40,8,40,8,1,4,0.3
WLD2,T24,diatom pennate pleurosigma,diatom pennate pleurosigma 8 120,8,120,8,1,7,0.3
WLD2,T24,diatom pennate pleurosigma,diatom pennate pleurosigma 8 64,8,64,8,4,14,1.3
WLD2,T24,flagellate cryptomonas,flagellate cryptomonas 3.67 5.5,3.67,5.5,,435,31,145.0
WLD2,T24,flagellate cryptomonas,flagellate cryptomonas 6.33 9.5,6.33,9.5,,214,73,71.3
WLD2,T24,flagellate cryptomonas,flagellate cryptomonas 9 14,9,14,,3,10,1.0
WLD2,T24,flagellate euglenid,flagellate euglenid 12 80,12,80,,1,34,0.3
WLD2,T24,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,580,40,193.3
WLD2,T24,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,36,14,12.0
WLD2,T24,flagellate other,flagellate other 9 14,9,14,,2,7,0.7
WLD2,T24,unidentified flagchloro,unidentified flagchloro 4 8,4,8,,46,26,15.3
WLD2,T24,unidentified NA,unidentified NA 24 40,24,40,,2,120,0.7
WLD2,T24,unidentified NA,unidentified NA 32 56,32,56,,1,153,0.3
WLD2,T24,unidentified round,unidentified round 14 14,14,14,,11,42,3.7
WLD2,T24,unidentified round,unidentified round 24.5 24.5,24.5,24.5,,139,2177,46.3
WLD2,T24,unidentified round,unidentified round 28 28,28,28,,5,270,1.7
WLD2,T24,unidentified round,unidentified round 5.5 5.5,5.5,5.5,,750,108,250.0
WLD2,T24,unidentified round,unidentified round 9.5 9.5,9.5,9.5,,54,42,18.0
YBP1,FC,chlorophyte colonial,chlorophyte colonial 12 12,12,12,,4,21,1.3
YBP1,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 16 32,16,32,,1,25,0.3
YBP1,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 4,4,4,,22,2,7.3
YBP1,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 8,4,8,,7,3,2.3
YBP1,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 8 12,8,12,,5,11,1.7
YBP1,FC,ciliate cone,ciliate cone 24 24,24,24,,429,4070,143.0
YBP1,FC,ciliate cone,ciliate cone 24 40,24,40,,131,5900,43.7
YBP1,FC,ciliate cone,ciliate cone 32 56,32,56,,1,131,0.3
YBP1,FC,ciliate other,ciliate other 19.2 32,19.2,32,,2,108,0.7
YBP1,FC,ciliate round,ciliate round 14 14,14,14,,128,496,42.7
YBP1,FC,ciliate round,ciliate round 24 24,24,24,,15,444,5.0
YBP1,FC,ciliate round,ciliate round 36 36,36,36,,2,417,0.7
YBP1,FC,ciliate round,ciliate round 40 40,40,40,,1,275,0.3
YBP1,FC,ciliate round,ciliate round 48 48,48,48,,1,472,0.3
YBP1,FC,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,47,12,15.7
YBP1,FC,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,199,245,66.3
YBP1,FC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 320,8,320,,1,123,0.3
YBP1,FC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 80,8,80,,17,546,5.7
YBP1,FC,cyanobacteria dolichospermum,cyanobacteria dolichospermum 4 160,4,160,,1,16,0.3
YBP1,FC,cyanobacteria dolichospermum,cyanobacteria dolichospermum 4 80,4,80,,1,8,0.3
YBP1,FC,cyanobacteria dolichospermum,cyanobacteria dolichospermum 6 56,6,56,,3,35,1.0
YBP1,FC,cyanobacteria NA,cyanobacteria NA 4 24,4,24,,11,25,3.7
YBP1,FC,diatom centric,diatom centric 14 14,14,14,,14,23,4.7
YBP1,FC,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,40,184,13.3
YBP1,FC,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,56,5,18.7
YBP1,FC,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,21,8,7.0
YBP1,FC,diatom chain,diatom chain 16 240,16,240,,2,116,0.7
YBP1,FC,diatom chain,diatom chain 24 64,24,64,,2,78,0.7
YBP1,FC,diatom cylindrotheca pennate,diatom cylindrotheca pennate 8 72,8,72,,12,40,4.0
YBP1,FC,diatom egg shaped,diatom egg shaped 16 32,16,32,,1,8,0.3
YBP1,FC,diatom egg shaped,diatom egg shaped 32 48,32,48,,1,36,0.3
YBP1,FC,diatom pennate,diatom pennate 12 56,12,56,12,1,11,0.3
YBP1,FC,diatom pennate,diatom pennate 2 20,2,20,2,87,4,29.0
YBP1,FC,diatom pennate,diatom pennate 4 10,4,10,4,3,1,1.0
YBP1,FC,diatom pennate,diatom pennate 4 20,4,20,4,8,4,2.7
YBP1,FC,diatom pennate,diatom pennate 4 24,4,24,4,11,6,3.7
YBP1,FC,diatom pennate,diatom pennate 6 48,6,48,,11,23,3.7
YBP1,FC,diatom pennate,diatom pennate 6 80,6,80,,3,12,1.0
YBP1,FC,diatom pennate,diatom pennate 8 40,8,40,8,3,10,1.0
YBP1,FC,diatom pennate,diatom pennate 8 48,8,48,,6,24,2.0
YBP1,FC,diatom pennate pleurosigma,diatom pennate pleurosigma 6 56,6,56,6,9,16,3.0
YBP1,FC,diatom pennate pleurosigma,diatom pennate pleurosigma 8 80,8,80,8,2,9,0.7
YBP1,FC,dinoflagellate peridinium,dinoflagellate peridinium 24 24,24,24,24,1,40,0.3
YBP1,FC,flagellate cryptomonas,flagellate cryptomonas 3.67 5.5,3.67,5.5,,2295,143,765.0
YBP1,FC,flagellate cryptomonas,flagellate cryptomonas 6.33 9.5,6.33,9.5,,141,49,47.0
YBP1,FC,flagellate cryptomonas,flagellate cryptomonas 8 16,8,16,,8,22,2.7
YBP1,FC,flagellate cryptomonas,flagellate cryptomonas 9 14,9,14,,34,36,11.3
YBP1,FC,flagellate in a cone,flagellate in a cone 4 4,4,4,,53,5,17.7
YBP1,FC,flagellate in a cone,flagellate in a cone 6 6,6,6,,30,20,10.0
YBP1,FC,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,829,55,276.3
YBP1,FC,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,14,6,4.7
YBP1,FC,flagellate other,flagellate other 9 14,9,14,,2,4,0.7
YBP1,FC,tintinnid agglutinated,tintinnid agglutinated 16 24,16,24,,26,382,8.7
YBP1,FC,tintinnid agglutinated,tintinnid agglutinated 24 56,24,56,,22,1619,7.3
YBP1,FC,tintinnid agglutinated,tintinnid agglutinated 24 64,24,64,,14,1098,4.7
YBP1,FC,tintinnid hyaline,tintinnid hyaline 16 20,16,20,,1,15,0.3
YBP1,FC,tintinnid hyaline,tintinnid hyaline 16 24,16,24,,1,19,0.3
YBP1,FC,unidentified flagchloro,unidentified flagchloro 4 12,4,12,,14,6,4.7
YBP1,FC,unidentified flagchloro,unidentified flagchloro 4 20,4,20,,22,28,7.3
YBP1,FC,unidentified round,unidentified round 24.5 24.5,24.5,24.5,,23,276,7.7
YBP1,FC,unidentified round,unidentified round 5.5 5.5,5.5,5.5,,661,95,220.3
YBP1,FC,unidentified round,unidentified round 9.5 9.5,9.5,9.5,,53,41,17.7
YBP1,IC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 4,4,4,,23,3,7.7
YBP1,IC,chlorophyte scenedesmus,chlorophyte scenedesmus 8 10,8,10,,3,6,1.0
YBP1,IC,ciliate cone,ciliate cone 24 24,24,24,,85,856,28.3
YBP1,IC,ciliate oblong,ciliate oblong 16 48,16,48,,1,55,0.3
