event,group_size,FRUgMn,IrTotAllUgC,PropIRbioUgC,IrTotUgCEvent,PropIRrBuTaxaPerEvent,PropIrBuEvent,IrTotUgCTaxa,PropIrBuTaxaTot
YBP1,FlagLg,,8.989440222,,0.113220577,,0.012594842,0.252415912,0.028079158
YBP1,FlagSm,0.042805584,8.989440222,0.004761763,0.113220577,0.378072481,0.012594842,0.194649114,0.021653085
YBP1,PenDiaLg,0.002880319,8.989440222,0.000320411,0.113220577,0.025439889,0.012594842,0.099935246,0.01111696
YBP1,PenDiaSm,0.000377767,8.989440222,4.20234E-05,0.113220577,0.003336557,0.012594842,0.024637879,0.002740758
YBP1,UnidLg,0.000307138,8.989440222,3.41666E-05,0.113220577,0.002712742,0.012594842,0.003391618,0.000377289
YBP1,UnidSm,0.003598401,8.989440222,0.000400292,0.113220577,0.031782219,0.012594842,0.060215009,0.006698416
YBP2,CenDiaLg,0.440105104,8.989440222,0.04895801,5.414035055,0.081289667,0.602266095,2.919515236,0.324771639
YBP2,CenDiaSm,0.498765796,8.989440222,0.055483521,5.414035055,0.092124597,0.602266095,0.949897624,0.105668162
YBP2,ChlLg,,8.989440222,,5.414035055,,0.602266095,0,0
YBP2,ChlSm,0.010053717,8.989440222,0.001118392,5.414035055,0.001856973,0.602266095,0.011077528,0.001232282
YBP2,ChnDiaLg,0.069381708,8.989440222,0.007718134,5.414035055,0.012815157,0.602266095,0.069381708,0.007718134
YBP2,CilLg,3.753092639,8.989440222,0.41750015,5.414035055,0.69321543,0.602266095,4.079082911,0.45376384
YBP2,CilSm,0.177707312,8.989440222,0.019768451,5.414035055,0.03282345,0.602266095,0.300737544,0.033454535
YBP2,FlagLg,0.252415912,8.989440222,0.028079158,5.414035055,0.046622512,0.602266095,0.252415912,0.028079158
YBP2,FlagSm,0.04695361,8.989440222,0.005223196,5.414035055,0.008672572,0.602266095,0.194649114,0.021653085
YBP2,PenDiaLg,0.097054927,8.989440222,0.010796548,5.414035055,0.017926542,0.602266095,0.099935246,0.01111696
YBP2,PenDiaSm,0.020712664,8.989440222,0.002304111,5.414035055,0.003825735,0.602266095,0.024637879,0.002740758
YBP2,UnidLg,0.003084479,8.989440222,0.000343123,5.414035055,0.000569719,0.602266095,0.003391618,0.000377289
YBP2,UnidSm,0.044707187,8.989440222,0.0049733,5.414035055,0.008257646,0.602266095,0.060215009,0.006698416
