,samp_ev,exp,grp_typ,category,sa,la,wi,tot_ct,bmn_pgml
1189,SJR2,site,unidentified round,unidentified round 9.5 9.5,9.5,9.5,NA,29,98.5930451
1190,SJR2,site,unidentified round,unidentified round 24.5 24.5,24.5,24.5,NA,18,908.6338378
1191,SJR2,site,unidentified round,unidentified round 56 56,56,56,NA,1,618.0915925
1192,SJR2,IC,unidentified round,unidentified round 5.5 5.5,5.5,5.5,NA,497,75.77578542
1193,SJR2,IC,unidentified round,unidentified round 9.5 9.5,9.5,9.5,NA,98,76.94775162
1194,SJR2,IC,unidentified round,unidentified round 14 14,14,14,NA,8,31.96858941
1195,SJR2,IC,unidentified round,unidentified round 24.5 24.5,24.5,24.5,NA,35,421.7523401
1196,SJR2,IC,unidentified round,unidentified round 28 28,28,28,NA,4,225.527151
1197,SJR2,FC,unidentified round,unidentified round 5.5 5.5,5.5,5.5,NA,277,43.64441684
1198,SJR2,FC,unidentified round,unidentified round 9.5 9.5,9.5,9.5,NA,53,43.15888678
1199,SJR2,FC,unidentified round,unidentified round 24.5 24.5,24.5,24.5,NA,7,136.5626239
1200,SJR2,T24,unidentified round,unidentified round 5.5 5.5,5.5,5.5,NA,146,23.92221362
1201,SJR2,T24,unidentified round,unidentified round 9.5 9.5,9.5,9.5,NA,24,20.5133643
1202,SJR2,T24,unidentified round,unidentified round 24.5 24.5,24.5,24.5,NA,6,117.9157641
1203,SJR2,T24,unidentified round,unidentified round 80 80,80,80,NA,1,1180.931809
1204,YBP2,site,unidentified round,unidentified round 5.5 5.5,5.5,5.5,NA,32,27.64424045
1205,YBP2,site,unidentified round,unidentified round 9.5 9.5,9.5,9.5,NA,16,67.23310919
1206,YBP2,site,unidentified round,unidentified round 14 14,14,14,NA,10,128.9168877
1207,YBP2,site,unidentified round,unidentified round 24.5 24.5,24.5,24.5,NA,90,4908.872044
1208,YBP2,site,unidentified round,unidentified round 28 28,28,28,NA,2,200.4372687
1209,YBP2,site,unidentified round,unidentified round 40 40,40,40,NA,16,3857.791884
1210,YBP2,site,unidentified round,unidentified round 48 48,48,48,NA,1,477.2255658
1211,YBP2,IC,unidentified round,unidentified round 5.5 5.5,5.5,5.5,NA,312,64.5432076
1212,YBP2,IC,unidentified round,unidentified round 9.5 9.5,9.5,9.5,NA,201,198.4110805
1213,YBP2,IC,unidentified round,unidentified round 14 14,14,14,NA,52,162.7212871
1214,YBP2,IC,unidentified round,unidentified round 24.5 24.5,24.5,24.5,NA,75,1132.453657
1215,YBP2,IC,unidentified round,unidentified round 48 48,48,48,NA,1,413.2322769
1216,YBP2,FC,unidentified round,unidentified round 5.5 5.5,5.5,5.5,NA,408,192.354561
1217,YBP2,FC,unidentified round,unidentified round 9.5 9.5,9.5,9.5,NA,88,176.615417
1218,YBP2,FC,unidentified round,unidentified round 14 14,14,14,NA,53,307.4877946
1219,YBP2,FC,unidentified round,unidentified round 24.5 24.5,24.5,24.5,NA,106,3804.914501
1220,YBP2,FC,unidentified round,unidentified round 28 28,28,28,NA,8,1201.056668
1221,YBP2,T24,unidentified round,unidentified round 5.5 5.5,5.5,5.5,NA,707,244.1203606
1222,YBP2,T24,unidentified round,unidentified round 9.5 9.5,9.5,9.5,NA,144,218.3466263
1223,YBP2,T24,unidentified round,unidentified round 14 14,14,14,NA,25,171.9442663
1224,YBP2,T24,unidentified round,unidentified round 24.5 24.5,24.5,24.5,NA,63,1941.136798
1225,YBP2,T24,unidentified round,unidentified round 40 40,40,40,NA,2,1001.825932
1226,WLD2,site,unidentified triangle,unidentified triangle 6 8,6,8,NA,7,5.071955225
